track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,Hit_or_Flop,Era,id
Tender Lover,Babyface,spotify:track:00GfGwzlSB8DoA0cDP2Eit,0.743,0.86,5,-6.346,1,0.0445,0.226,0.000422,0.0513,0.687,102.459,259267,4,24.6992,11,1,80s,20953
Seven Years,Saosin,spotify:track:0C71NJD4BhvPopTwI7a8KV,0.239,0.941,2,-4.535,0,0.0967,2.3e-05,2.38e-06,0.327,0.223,81.844,192787,3,73.08865,8,0,00s,30386
Boy With Luv,BTS Featuring Halsey,spotify:track:5KawlOMHjWeUjQtnuRs22c,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.798,119.991,229773,4,48.23827,9,1,10s,39282
It's All Gone,The Black,spotify:track:6RqoK0u9y12yVb0WKifoQk,0.363,0.907,2,-6.123,1,0.0533,2.3e-05,3.65e-05,0.303,0.343,97.922,259800,4,96.69484,9,0,10s,37222
Beng Beng Beng,Femi Kuti,spotify:track:1kWpqQq33VAcMZCS0YOQqq,0.759,0.879,5,-7.717,0,0.0751,0.018,0.00232,0.0645,0.91,126.007,286000,4,47.25379,13,0,90s,24866
Sixty Sixty,Faust,spotify:track:7wRT5XGxB7Hp0X6gXBMUIK,0.719,0.487,2,-14.356,1,0.0612,0.107,0.0385,0.11,0.41,120.067,172453,4,31.04279,9,0,90s,25361
Lies,EMF,spotify:track:0p49hWG0ttwbLltdzxKOZO,0.543,0.864,8,-9.874,1,0.0381,0.000611,0.00223,0.207,0.759,113.952,259667,4,113.16217,9,1,90s,28483
Chevy Van,Sammy Johns,spotify:track:31S6oGx81hVIjWz6cu5oNw,0.449,0.547,9,-12.259,1,0.0351,0.457,0.0,0.0737,0.74,152.211,179000,4,32.62747,11,1,70s,12184
L'eclisse 6,Giovanni Fusco,spotify:track:4D9dJbHLUAvpp2MGliBT6W,0.436,0.00274,3,-21.59,1,0.0557,0.978,0.839,0.119,0.2,136.95,89000,4,34.94934,5,0,60s,1490
Keepin' Up,Alabama,spotify:track:0HgpiaXip83f5BARVLfvu2,0.677,0.756,4,-7.063,1,0.0245,0.0272,0.0,0.0981,0.805,133.921,185373,4,32.13054,11,1,90s,28211
Oxygen Corrosion,Insect Warfare,spotify:track:0pbqL0YsmbwdzRdEVRg7bK,0.222,0.994,1,-5.394,1,0.125,0.000107,0.000408,0.181,0.0247,66.222,53453,3,0.0,2,0,00s,29503
All Clockwork And No Bodily Fluids Makes Hal A Dull Metal Humbert...,Game Theory,spotify:track:31jolndCeQ9ejaIBcR5mma,0.288,0.263,2,-15.394,1,0.123,0.0307,0.0609,0.373,0.289,78.269,114880,4,57.34434,5,0,80s,17981
Nobody Else But Me,Bill Evans Trio,spotify:track:6OwZm1N7Zvq9oyb1OPZvg3,0.471,0.216,7,-18.797,0,0.0489,0.953,0.925,0.0874,0.412,90.454,304067,4,28.64416,12,0,80s,22530
Sopot,Hatti Vatti,spotify:track:3czlIo68n1fkiRKYbepy4H,0.607,0.162,7,-24.517,1,0.0739,0.908,0.94,0.189,0.585,114.022,101680,4,65.29698,4,0,10s,38046
Schatten Aus Der Alexander Welt,Bethlehem,spotify:track:2ZQc5eIAp2c7mIfzYQM9oO,0.311,0.933,2,-6.285,1,0.125,0.00932,1.11e-05,0.356,0.0689,116.161,266227,3,47.12086,11,0,90s,27503
Everlasting Love,Robert Knight,spotify:track:0YR8dAoJh6Hba2c9EvppJI,0.618,0.442,9,-13.154,1,0.0313,0.624,0.0291,0.106,0.403,116.113,179493,4,40.33007,8,1,60s,5876
This Is It,Scotty McCreery,spotify:track:34DFpyq5NJJ79GnGbbJH3p,0.557,0.511,8,-6.788,1,0.0291,0.254,0.0,0.099,0.602,156.042,230973,4,49.27996,8,1,10s,37696
Blowing Away,The 5th Dimension,spotify:track:4QA7qq93cMngOaSNEZVOXa,0.53,0.664,0,-5.791,1,0.0316,0.329,0.0,0.157,0.845,118.931,153107,4,31.98996,9,1,70s,14965
Laugh Me Tender,Didier Thibault,spotify:track:3969AUPighgd3S60ZLEkBW,0.516,0.216,0,-15.466,1,0.0321,0.0288,0.915,0.074,0.25,133.128,170733,4,33.27078,10,0,80s,20785
